term,phonetic,definition,translation,example,tags,rootKey,derivatives,frq,pos,mnemonic
state,steit,,"n. 州, 状态, 情形, 国家, 政府, 领土, 国务, 社会地位； a. 国家的, 正式的, 礼仪用的, 州的",,cet6|stat,stat,stated|states|stating,137,,stat 像 stand 的骨架：站住的一刻就是状态 state。
statement,'steitmәnt,,"n. 陈述, 指令, 声明； [计] 程序语句; 语句",,cet6|stat,stat,statements,921,,state + ment：把状态说出来就是 statement 陈述。
status,'steitәs,,"n. 状态, 情形, 地位, 要人身份； [计] 状态",,cet6|stat,stat,,1215,,stat 站在哪个位置，status 就是身份和状态。
statistics,stә'tistiks,,"n. 统计学, 统计资料； [计] 统计信息",,cet6|stat,stat,,2709,,stat 状态 + 数字汇总，statistics 就是统计。
statue,'stætju,,vt. 以雕像装饰； n. 雕像,,cet6|stat,stat,statues,3872,,
statistical,stә'tistikl,,"a. 统计的, 统计上的, 统计学的； [经] 统计的, 统计学的",,cet6|stat,stat,,4292,,
static,'stætik,,"n. 静电, 静电干扰； a. 静态的, 静止的, 固有的, 静电的",,cet6|stat,stat,statics,5963,,
stationary,'steiʃ(ә)nәri,,"a. 不动的, 静止的, 不变的, 固定的, 停留的； [计] 定常, 定态, 固定的",,cet6|stat,stat,,10049,,
statesman,'steitsmәn,,n. 政治家,,cet6|stat,stat,statesmen,10075,,
stationery,'steiʃәnәri,,"n. 文具, 信纸； [法] 文具",,cet6|stat,stat,,14645,,
provide,prә'vaid,,"vt. 提供, 供应, 规定, 预备； vi. 作准备, 抚养, 规定",,cet6|prud,prud,provided|provides|providing,262,,
prudent,'pru:dnt,,"a. 审慎的, 三思而后行的, 精明的, 节俭的",,cet6|prud,prud,prudenter,8823,,
include,in'klu:d,,"vt. 包括, 把...算入, 包住； [计] DOS内部命令:在CONFIG.SYS文件的一个配置块中包含另一配置块的内容",,cet6|clud,clud,included|includes|including,292,,in + clude 关进去，把内容关进来就是 include。
conclude,kәn'klu:d,,"vt. 结束, 作结论, 推断； vi. 结束, 推断",,cet6|clud,clud,concluded|concludes|concluding,1670,,con + clude 合上，讨论合上就是 conclude 得出结论。
exclude,iks'klu:d,,"vt. 除外, 排除, 排斥； [医] 除外(诊断)",,cet6|clud,clud,excluded|excludes|excluding,3470,,ex + clude 关在外面，exclude 就是排除。
preclude,pri'klu:d,,"vt. 预先排除, 预防, 阻止, 妨碍； [法] 预防, 排除, 消除",,cet6|clud,clud,precluded|precludes|precluding,8092,,
community,kә'mju:niti,,"n. 社区, 公众, 共有, 共同体； [经] 公众, 共有, 社会",,cet6|commun,commun,communities,296,,commun 表共同，community 是共同生活的人群。
communicate,kә'mju:nikeit,,"vt. 显露, 传达, 感染； vi. 通讯",,cet6|commun,commun,communicated|communicates|communicating,2672,,commun 共同 + ate，让信息共同流动就是 communicate。
communist,'kɒmjunist,,"n. 共产主义者, 共产党员； [法] 共产主义的, 共产党的",,cet6|commun,commun,communists,5543,,
social,'sәuʃәl,,"a. 社会的, 群居的, 社交的； n. 联欢会",,cet6|soci,soci,,319,,soci 表伙伴，social 是和伙伴相处的社会性。
society,sә'saiәti,,n. 社会；社交界；交往；社团,,cet6|soci,soci,societies,507,,soci 伙伴集合起来就是 society 社会。
associate,ә'sәuʃieit,,"n. 同伴, 伙伴, 关联的事物； vt. 使联合, 使发生联系",,cet6|soci,soci,associated|associates|associating,1354,,as + soci + ate，和伙伴连在一起就是 associate。
association,ә.sәuʃә'eiʃәn,,n. 协会； [计] 关联,,cet6|soci,soci,associations,1859,,associate 的组织名词，association 是连结成的协会。
socialist,'sәuʃәlist,,"n. 社会主义者, 社会党党员； [法] 社会主义的",,cet6|soci,soci,socialists,5591,,
socialism,'sәuʃәlizm,,"n. 社会主义, 社会主义运动",,cet6|soci,soci,socialisms,7238,,
sociology,.sәusi'ɒlәdʒi,,n. 社会学； [医] 社会学,,cet6|soci,soci,sociologies,8002,,
result,ri'zʌlt,,"n. 结果, 成绩, 答案； vi. 产生, 结果, 致使",,cet6|sault,sault,resulted|resulting|results,354,,re + sult 像事情跳出来，结果就是 result。
assault,ә'sɒ:t,,"n. 攻击, 袭击； vt. 袭击, 攻击",,cet6|sault,sault,assaulted|assaulting|assaults,2860,,
insult,'insʌlt,,"n. 侮辱, 无礼, 损害； vt. 损害, 侮辱, 攻击",,cet6|sault,sault,insulted|insulting|insults,6568,,in + sult，把坏话甩进去就是 insult 侮辱。
consider,kәn'sidŋ,,"v. 考虑, 思考, 认为",,cet6|sider,sider,considered|considering|considers,394,,con + sider 像一起看星星，反复看就是 consider。
consideration,kәn.sidә'reiʃәn,,"n. 考虑, 原因； [法] 考虑, 思考, 报酬",,cet6|sider,sider,considerations,2487,,consider 后形成的名词，consideration 是认真考虑。
probably,'prɒbәbli,,"adv. 大概, 或许",,cet6|prob,prob,,398,,prob 表验证，probably 是经过判断后的大概可能。
probability,.prɒbә'biliti,,"n. 可能性, 或然率, 几率, 概率； [化] 概率; 几率",,cet6|prob,prob,probabilities,5104,,prob 可验证的可能性，probability 就是概率。
probable,'prɒbәbl,,"a. 很可能的, 大概的, 可信的； n. 很有希望的候选人, 很可能的事情",,cet6|prob,prob,probables,6767,,probable 是有证据支持的可能。
sense,sens,,"n. 感应, 感觉, 感官, 意识, 观念, 情理, 知觉, 理智； vt. 感觉, 觉察, 检测",,cet6|sens,sens,sensed|senses|sensing,407,,sense 像 sensor，感官收到的就是 sense。
sensitive,'sensitiv,,"a. 敏感的, 易感的, 灵敏的, 感光的； [机] 敏感的, 灵敏的, 感度高的",,cet6|sens,sens,sensitives,2506,,sense + tive，容易感到变化就是 sensitive。
consensus,kәn'sensәs,,"n. 合意, 一致, 同感； [计] 合意",,cet6|sens,sens,,3317,,
sensation,sen'seiʃәn,,"n. 感觉, 轰动； [医] 感觉",,cet6|sens,sens,sensations,4378,,
sensitivity,.sensә'tiviti,,"n. 敏感, 灵敏度； [计] 灵敏度",,cet6|sens,sens,sensitivities,4452,,
sensor,'sensә,,n. 传感器； [计] 检测器,,cet6|sens,sens,sensors,4935,,
nonsense,'nɒnsәns,,"n. 无意义的事, 荒谬言行, 荒唐",,cet6|sens,sens,nonsenses,5969,,non + sense，没有 sense 就是 nonsense 胡话。
sensible,'sensәbl,,"a. 有感觉的, 敏感的, 明智的； [医] 可感觉的",,cet6|sens,sens,,6126,,sense + ible，能讲得通就是 sensible 明智。
senseless,'senslis,,"a. 无感觉的, 无意识的, 不省人事的",,cet6|sens,sens,,12428,,
course,kɒ:s,,"n. 课程, 路线, 过程, 一道菜, 道路； v. 追, (使)跑",,cet6|cour,cour,coursed|courses|coursing,418,,
courage,'kʌridʒ,,"n. 勇气, 胆量",,cet6|cour,cour,,3324,,
coarse,kɒ:s,,"a. 粗糙的, 下等的, 粗俗的； [计] 粗略的",,cet6|cour,cour,coarser|coarsest|coarsing,7903,,
courageous,kә'reidʒәs,,"a. 勇敢的, 大胆的, 有胆量的",,cet6|cour,cour,,8170,,
remain,ri'mein,,"vi. 保持, 逗留, 剩余； [法] 停留, 居住, 继续",,cet6|mans,mans,remained|remaining|remains,426,,
permanent,'pә:mәnәnt,,"a. 永久的, 不变的, 固定的, 持久的； n. 烫发",,cet6|mans,mans,,2464,,per + manent 像一直留在原位，permanent 是永久的。
mansion,'mænʃәn,,"n. 大厦, 宅邸",,cet6|mans,mans,mansions,4761,,
effect,i'fekt,,"n. 结果, 影响, 效果, 印象； vt. 实行, 引起, 完成",,cet6|e (ec & ef),e (ec & ef),effected|effecting|effects,427,,ef + fect 做出来的结果就是 effect 效果。
elaborate,i'læbәreit,,"a. 精细的, 详尽的, 精心计划(或制作)的； vt. 详细地说明, 用心地制作, 发挥",,cet6|e (ec & ef),e (ec & ef),elaborated|elaborates|elaborating,4630,,
eject,i'dʒekt,,"vt. 逐放, 放逐, 喷射； [化] 排出",,cet6|e (ec & ef),e (ec & ef),ejected|ejecting|ejects,10924,,
require,ri'kwaiә,,"vt. 需要, 命令, 要求； [法] 需要, 要求, 命令",,cet6|quir,quir,required|requires|requiring,446,,re + quire 像反复询问，require 是要求。
acquire,ә'kwaiә,,"vt. 获得, 学到； [电] 目标锁定",,cet6|quir,quir,acquired|acquires|acquiring,2063,,ac + quire，通过追问和努力取得就是 acquire。
exquisite,'ekskwizit,,"a. 精致的, 细腻的, 敏锐的",,cet6|quir,quir,,8096,,
effort,'efәt,,"n. 努力, 成就",,cet6|fort,fort,efforts,454,,
comfortable,'kʌmfәtәbl,,"a. 舒服的, 轻松的； n. 盖被",,cet6|fort,fort,,1701,,comfort + able，能带来安稳感就是 comfortable。
comfort,'kʌmfәt,,"n. 舒适, 安慰, 安慰者； vt. 安慰",,cet6|fort,fort,comforted|comforting|comforts,2928,,com + fort 像一起加固内心，comfort 是安慰。
forthcoming,'fɒ:θ'kʌmɑŋ,,a. 即将来临的； n. 来临,,cet6|fort,fort,,6748,,
fortress,'fɒ:tris,,"n. 城堡, 要塞； vt. 筑要塞, 以要塞防守",,cet6|fort,fort,fortressed|fortresses,9115,,
fortnight,'fɒ:tnait,,n. 两星期,,cet6|fort,fort,fortnights,22633,,
rate,reit,,"n. 比率, 率, 速度, 价格, 费用, 等级； vt. 估价, 认为, 鉴定等级, 责骂",,cet6|rat,rat,rated|rates|rating,457,,rate 像给速度和等级打分，rate 是比率或评价。
ratio,'reiʃәu,,"n. 比, 比率； [医] 比, 比率, 比例",,cet6|rat,rat,ratios,3088,,ratio 是 rate 的数字关系版：两个量相互比较。
rational,'ræʃәnl,,"a. 理性的, 合理的； n. 有理数",,cet6|rat,rat,,4481,,ratio + nal，按比例和理性推就是 rational。
military,'militәri,,"n. 军队； a. 军事的, 军人的, 适于战争的",,cet6|milit,milit,,474,,
militant,'militәnt,,a. 好战的,,cet6|milit,milit,militants,7179,,
value,'vælju:,,"n. 价值, 价格, 购买力, 评价, 估价, 计算结果； vt. 评价, 估价, 重视",,cet6|val,val,valued|values|valuing,499,,value 是你愿意标价保留的东西：价值。
evaluate,i'væljueit,,"vt. 评估, 评价, 赋值",,cet6|val,val,evaluated|evaluates|evaluating,2339,,e + value，把价值估出来就是 evaluate 评估。
valid,'vælid,,"a. 有确实根据的, 有法律效力的, 正当的, 正确的； [经] 有效的",,cet6|val,val,,4703,,valid 像 value 被认可，valid 是有效的。
invalid,in'vælid,,"n. 病人, 残废者； a. 有病的, 无效的",,cet6|val,val,invalided|invaliding|invalids,17470,,
international,.intә'næʃәnәl,,a. 国际的； n. 国别设定,,cet6|nat,nat,internationals,500,,inter + national，国家之间的就是 international。
naive,nɑ:'i:v,,"a. 天真的, 纯真的, 幼稚的",,cet6|nat,nat,,6114,,
